First Name,Last Name,Account Email,Ad Recommendation
Lynelle,Auber,lynelle_auber@gmail.com,LS Shirt
Ma,Layous,mlayous@hotmail.com,SS Shirt
Maile,Linahan,mlinahan@yahoo.com,LS Shirt
Malcolm,Tromblay,malcolm_tromblay@cox.net,SS Shirt
Malinda,Hochard,malinda.hochard@yahoo.com,SS Shirt
Margart,Meisel,margart_meisel@yahoo.com,LS Shirt
Marge,Limmel,marge@gmail.com,LS Shirt
Marguerita,Hiatt,marguerita.hiatt@gmail.com,LS Shirt
Mari,Lueckenbach,mari_lueckenbach@yahoo.com,LS Shirt
Mariann,Bilden,mariann.bilden@aol.com,SS Shirt
Marjory,Mastella,mmastella@mastella.com,SS Shirt
Markus,Lukasik,markus@yahoo.com,Zip up Jacket
Marti,Maybury,marti.maybury@yahoo.com,Polo Shirt
Martina,Staback,martina_staback@staback.com,LS Shirt
Marvel,Raymo,mraymo@yahoo.com,SS Shirt
Maryann,Royster,mroyster@royster.com,LS Shirt
Matthew,Neither,mneither@yahoo.com,SS Shirt
Mattie,Poquette,mattie@aol.com,SS Shirt
Maurine,Yglesias,maurine_yglesias@yglesias.com,Hoodie
Meaghan,Garufi,meaghan@hotmail.com,LS Shirt
Melissa,Wiklund,melissa@cox.net,Zip up Jacket
Melodie,Knipp,mknipp@gmail.com,Zip up Jacket
Merilyn,Bayless,merilyn_bayless@cox.net,LS Shirt
Merissa,Tomblin,merissa.tomblin@gmail.com,Hoodie
Merlyn,Lawler,merlyn_lawler@hotmail.com,Crewneck Sweater
Micaela,Rhymes,micaela_rhymes@gmail.com,LS Shirt
Minna,Amigon,minna_amigon@yahoo.com,Hoodie
Mireya,Frerking,mireya.frerking@hotmail.com,Zip up Jacket
Mirta,Mallett,mirta_mallett@gmail.com,Hoodie
Mitsue,Scipione,mscipione@scipione.com,SS Shirt
Mitsue,Tollner,mitsue_tollner@yahoo.com,LS Shirt
Mitzie,Hudnall,mitzie_hudnall@yahoo.com,SS Shirt
Mollie,Mcdoniel,mollie_mcdoniel@yahoo.com,LS Shirt
Mona,Delasancha,mdelasancha@hotmail.com,SS Shirt
Moon,Parlato,moon@yahoo.com,SS Shirt
Mozell,Pelkowski,mpelkowski@pelkowski.org,Hoodie
My,Rantanen,my@hotmail.com,Zip up Jacket
Myra,Munns,mmunns@cox.net,SS Shirt
Nan,Koppinger,nan@koppinger.com,LS Shirt
Nana,Wrinkles,nana@aol.com,Hoodie
Natalie,Fern,natalie.fern@hotmail.com,SS Shirt
Nelida,Sawchuk,nelida@gmail.com,LS Shirt
Nichelle,Meteer,nichelle_meteer@meteer.com,Hoodie
Nickolas,Juvera,nickolas_juvera@cox.net,SS Shirt
Nicolette,Brossart,nicolette_brossart@brossart.com,Hoodie
Nieves,Gotter,nieves_gotter@gmail.com,Zip up Jacket
Noah,Kalafatis,noah.kalafatis@aol.com,LS Shirt
Nobuko,Halsey,nobuko.halsey@yahoo.com,Zip up Jacket
Norah,Waymire,norah.waymire@gmail.com,LS Shirt
Novella,Degroot,novella_degroot@degroot.org,Zip up Jacket
Nu,Mcnease,nu@gmail.com,LS Shirt
Olive,Matuszak,olive@aol.com,Crewneck Sweater
Oretha,Menter,oretha_menter@yahoo.com,SS Shirt
Ozell,Shealy,oshealy@hotmail.com,Hoodie
Pamella,Fortino,pamella@fortino.com,Crewneck Sweater
Pamella,Schmierer,pamella.schmierer@schmierer.org,LS Shirt
Paris,Wide,paris@hotmail.com,Hoodie
Paz,Sahagun,paz_sahagun@cox.net,LS Shirt
Peggie,Sturiale,peggie@cox.net,Hoodie
Penney,Weight,penney_weight@aol.com,Zip up Jacket
Pete,Dubaldi,pdubaldi@hotmail.com,Hoodie
Portia,Stimmel,portia.stimmel@aol.com,Zip up Jacket
Quentin,Birkner,qbirkner@aol.com,SS Shirt
Quentin,Swayze,quentin_swayze@yahoo.com,Hoodie
Raina,Brachle,raina.brachle@brachle.org,SS Shirt
Rasheeda,Sayaphon,rasheeda@aol.com,Button Down Shirt
Raul,Upthegrove,rupthegrove@yahoo.com,LS Shirt
Raylene,Kampa,rkampa@kampa.org,LS Shirt
Raymon,Calvaresi,raymon.calvaresi@gmail.com,SS Shirt
Rebecka,Gesick,rgesick@gesick.org,Hoodie
Reena,Maisto,reena@hotmail.com,Hoodie
Refugia,Jacobos,refugia.jacobos@jacobos.com,Crewneck Sweater
Regenia,Kannady,regenia.kannady@cox.net,LS Shirt
Reita,Leto,reita.leto@gmail.com,SS Shirt
Renea,Monterrubio,renea@hotmail.com,SS Shirt
Ressie,Auffrey,ressie.auffrey@yahoo.com,Button Down Shirt
Rhea,Aredondo,rhea_aredondo@cox.net,LS Shirt
Rickie,Plumer,rickie.plumer@aol.com,LS Shirt
Rikki,Nayar,rikki@nayar.com,SS Shirt
Rima,Bevelacqua,rima@cox.net,LS Shirt
Rodolfo,Butzen,rodolfo@hotmail.com,Zip up Jacket
Rolande,Spickerman,rolande.spickerman@spickerman.com,SS Shirt
Rolland,Francescon,rolland@cox.net,Zip up Jacket
Ronny,Caiafa,ronny.caiafa@caiafa.org,Hoodie
Roosevelt,Hoffis,roosevelt.hoffis@aol.com,SS Shirt
Rory,Papasergi,rpapasergi@cox.net,LS Shirt
Roselle,Estell,roselle.estell@hotmail.com,Zip up Jacket
Rosio,Cork,rosio.cork@gmail.com,LS Shirt
Roslyn,Chavous,roslyn.chavous@chavous.org,SS Shirt
Roxane,Campain,roxane@hotmail.com,LS Shirt
Rozella,Ostrosky,rozella.ostrosky@ostrosky.com,SS Shirt
Ruthann,Keener,ruthann@hotmail.com,Hoodie
Ryan,Harnos,ryan@cox.net,LS Shirt
Sabra,Uyetake,sabra@uyetake.org,Zip up Jacket
Sage,Wieser,sage_wieser@cox.net,LS Shirt
Salena,Karpel,skarpel@cox.net,SS Shirt
Salome,Lacovara,slacovara@gmail.com,Hoodie
Samira,Heintzman,sheintzman@hotmail.com,Hoodie
Sarah,Candlish,sarah.candlish@gmail.com,Zip up Jacket
Scarlet,Cartan,scarlet.cartan@yahoo.com,SS Shirt
Selma,Husser,selma.husser@cox.net,SS Shirt
Serina,Zagen,szagen@aol.com,LS Shirt
Shalon,Shadrick,shalon@cox.net,SS Shirt
Sharee,Maile,sharee_maile@aol.com,LS Shirt
Sharen,Bourbon,sbourbon@yahoo.com,Hoodie
Sharika,Eanes,sharika.eanes@aol.com,SS Shirt
Shawna,Palaspas,shawna_palaspas@palaspas.org,Hoodie
Shawnda,Yori,shawnda.yori@yahoo.com,SS Shirt
Shenika,Seewald,shenika@gmail.com,LS Shirt
Sheridan,Zane,sheridan.zane@zane.com,LS Shirt
Sherita,Saras,sherita.saras@cox.net,Zip up Jacket
Sheron,Louissant,sheron@aol.com,SS Shirt
Shonda,Greenbush,shonda_greenbush@cox.net,Hoodie
Simona,Morasca,simona@morasca.com,Crewneck Sweater
Skye,Fillingim,skye_fillingim@yahoo.com,SS Shirt
Solange,Shinko,solange@shinko.com,SS Shirt
Staci,Schmaltz,staci_schmaltz@aol.com,Hoodie
Stephaine,Barfield,stephaine@barfield.com,LS Shirt
Stephaine,Vinning,stephaine@cox.net,Hoodie
Stephane,Myricks,stephane_myricks@cox.net,Hoodie
Stephen,Emigh,stephen_emigh@hotmail.com,SS Shirt
Stevie,Westerbeck,stevie.westerbeck@yahoo.com,Crewneck Sweater
Sue,Kownacki,sue@aol.com,LS Shirt
Sylvia,Cousey,sylvia_cousey@cousey.org,LS Shirt
Sylvie,Ryser,sylvie@aol.com,Polo Shirt
Talia,Riopelle,talia_riopelle@aol.com,Crewneck Sweater
Tamar,Hoogland,tamar@hotmail.com,SS Shirt
Tammara,Wardrip,twardrip@cox.net,LS Shirt
Tarra,Nachor,tarra.nachor@cox.net,Hoodie
Taryn,Moyd,taryn.moyd@hotmail.com,SS Shirt
Tasia,Andreason,tasia_andreason@yahoo.com,Crewneck Sweater
Tawna,Buvens,tawna@gmail.com,SS Shirt
Teddy,Pedrozo,teddy_pedrozo@aol.com,Hoodie
Tegan,Arceo,tegan.arceo@arceo.org,LS Shirt
Teri,Ennaco,tennaco@gmail.com,SS Shirt
Terrilyn,Rodeigues,terrilyn.rodeigues@cox.net,SS Shirt
Thaddeus,Ankeny,tankeny@ankeny.org,Hoodie
Theodora,Restrepo,theodora.restrepo@restrepo.com,SS Shirt
Theola,Frey,theola_frey@frey.com,SS Shirt
Thurman,Manno,thurman.manno@yahoo.com,SS Shirt
Tiera,Frankel,tfrankel@aol.com,SS Shirt
Tiffiny,Steffensmeier,tiffiny_steffensmeier@cox.net,Polo Shirt
Timothy,Mulqueen,timothy_mulqueen@mulqueen.org,SS Shirt
Tonette,Wenner,twenner@aol.com,SS Shirt
Tracey,Modzelewski,tracey@hotmail.com,Hoodie
